,,,,,,
Klausenberg,1554,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kleiner Rechenberg,1466,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kleines Kienbergl,1071,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kleinstaffen,1250,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Bewaldeter Gupf
Kobelwand (Jägerhäuslkopf),1214,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kogl,1023,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kohlerhörndl,1480,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kopfkrax Steinplatte,1562,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Kranzbergkogel,1226,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kranzhorn,1365,"Berg, Gipfel",Österreich Deutschland,Tirol Bayern,Chiemgauer Alpen,
Kranzingerberg,1015,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,Zweiter kleinerer Gipfel auf dem Aufstieg von Walchsee aus
Kranzkogel,1241,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kratzellahner,1577,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Kreuzscheid,1609,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Östlichstes Eck vom DürrnbachhornkammKein ausgeprägter Gipfel
Kundl,1115,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Köstelkopf,1349,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Lackenberg,1224,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Lahnerkogel,1595,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Latschengupf
Lanzeleck,1292,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Latschkogel,1589,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Laubenstein,1350,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
